title,date,question,answer
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",How do you view the significance of this moment in human history?,"We are meeting at a remarkable moment, a moment that is, in fact, unique in human history, a moment both ominous in portent and bright with hopes for a better future."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",What's your perspective on the role of the Progressive International at this critical juncture?,The Progressive International has a crucial role to play in determining which course history will follow.
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",Could you elaborate on the confluence of crises facing humanity today?,"We are meeting at a moment of confluence of crises of extraordinary severity, with the fate of the human experiment quite literally at stake."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",Why do you think the issues facing humanity are coming to a head in the two major imperial powers?,The issues are coming to a head in the next few weeks in the two great imperial powers of the modern era.
Noam Chomsky: Internationalism or Extinction,"September 18, 2020","In your analysis, what is the potential impact of Britain's break from Europe on the global order?","Fading Britain, having publicly declared that it rejects international law, is on the verge of a sharp break from Europe, on the path to becoming even more of a US satellite that it already is."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020","Do you believe the rest of the world is concerned about the US elections, and why?","Of course what is of the greatest significance for the future is what happens in the global hegemon, diminished by Trump’s wrecking ball, but still with overwhelming power and incomparable advantages. Its fate, and with it the fate of the world, may well be determined in November."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020","What drives Martin Wolf's assertion that the re-election of Trump would be ""terminal"" for the West?","Not surprisingly, the rest of the world is concerned, if not appalled. It would be difficult to find a more sober and respected commentator than Martin Wolf of the London Financial Times. He writes that the West is facing a serious crisis, and if Trump is re-elected, “this will be terminal.”"
Noam Chomsky: Internationalism or Extinction,"September 18, 2020","How would you explain the concept of the ""global order"" and its importance in the current crisis?","Wolf is referring to the global order, a critical matter though not on the scale of the crises that threaten vastly more serious consequences, the crises that are driving the hands of the famous Doomsday Clock towards midnight – towards termination."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",Why do you think the nuclear threat and environmental catastrophe form a grim trio with declining democracy?,"The only hope of escaping the two threats of termination is vibrant democracy in which concerned and informed citizens are fully engaged in deliberation, policy formation, and direct action."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",Could you elaborate on the worsening of the three threats during Trump's presidency?,"Since last January, President Trump has amplified all three threats, not a mean accomplishment."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020","In your opinion, what is the importance of the arms control regime in protecting against the threat of nuclear war?","Trump has continued his demolition of the arms control regime that has offered some protection against the threat of nuclear war, while also pursuing development of new and even more dangerous weapons, much to the delight of military industry."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",How has Trump's commitment to fossil fuel use contributed to the environmental crisis?,"In his dedicated commitment to destroy the environment that sustains life, Trump has opened up vast new areas for drilling, including the last great nature reserve."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",Could you explain the impact of the dismantling of the regulatory system on the environment and public health?,"Meanwhile, his minions are systematically dismantling the regulatory system that somewhat mitigates the destructive impact of fossil fuel use, and that protects the population from toxic chemicals and from pollution, a curse that is now doubly murderous in the course of a severe pandemic."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",How does the deterioration of democracy relate to the other two threats faced by humanity?,"The last [crisis], the deterioration of democracy, might at first seem out of place, but it is not."
Noam Chomsky: Internationalism or Extinction,"September 18, 2020",Why is vibrant democracy essential for addressing the threats of nuclear war and environmental catastrophe?,"Declining democracy is a fitting member of the grim trio. The only hope of escaping the two threats of termination is vibrant democracy in which concerned and informed citizens are fully engaged in deliberation, policy formation, and direct action."
Will Organized Human Life Survive?,"May 04, 2018",How do you view the significance of the question you've posed - whether organized human life will survive?,"It's the most important question that’s ever been asked in human history, a question that should be uppermost in everyone’s mind. It’s been hanging over our heads like a “sword of Damocles” for many years, becoming more urgent every year, and it has now reached the point where the question will be answered in this generation."
Will Organized Human Life Survive?,"May 04, 2018",What drove you to reflect on the horror of the atom bomb and its implications when you were a counselor at a summer camp in 1945?,"I was so utterly horrified that I just took off and went off into the woods for a couple of hours to think about it. It was perfectly obvious if you thought about it for a second, not only about the horror of the event, but that humans in their glory had achieved the capacity to destroy everything."
